Date,T2M
2019/08/07 19:59:59,28.33
2019/08/07 20:59:59,28.31
2019/08/07 21:59:59,28.25
2019/08/07 22:59:59,28.08
2019/08/07 23:59:59,27.72
2019/08/08 00:59:59,27.28
2019/08/08 01:59:59,26.97
2019/08/08 02:59:59,26.82
2019/08/08 03:59:59,26.65
2019/08/08 04:59:59,26.63
2019/08/08 05:59:59,27.57
2019/08/08 06:59:59,29.77
2019/08/08 07:59:59,31.83
2019/08/08 08:59:59,33.27
2019/08/08 09:59:59,34.4
2019/08/08 10:59:59,35.23
2019/08/08 11:59:59,35.53
2019/08/08 12:59:59,35.4
2019/08/08 13:59:59,35.01
2019/08/08 14:59:59,34.29
2019/08/08 15:59:59,33.39
2019/08/08 16:59:59,32.38
2019/08/08 17:59:59,30.69
2019/08/08 18:59:59,29.88
2019/08/08 19:59:59,29.44
2019/08/08 20:59:59,29.08
2019/08/08 21:59:59,28.72
2019/08/08 22:59:59,28.32
2019/08/08 23:59:59,27.94
2019/08/09 00:59:59,27.65
2019/08/09 01:59:59,27.46
2019/08/09 02:59:59,27.28
2019/08/09 03:59:59,27.1
2019/08/09 04:59:59,27.02
2019/08/09 05:59:59,27.84
2019/08/09 06:59:59,29.5
2019/08/09 07:59:59,30.94
2019/08/09 08:59:59,32
2019/08/09 09:59:59,32.87
2019/08/09 10:59:59,33.62
2019/08/09 11:59:59,34.11
2019/08/09 12:59:59,34.31
2019/08/09 13:59:59,34.18
2019/08/09 14:59:59,33.76
2019/08/09 15:59:59,33.05
2019/08/09 16:59:59,31.99
2019/08/09 17:59:59,30.72
2019/08/09 18:59:59,29.9
2019/08/09 19:59:59,29.23
2019/08/09 20:59:59,28.56
2019/08/09 21:59:59,27.96
2019/08/09 22:59:59,27.44
2019/08/09 23:59:59,27.04
2019/08/10 00:59:59,26.76
2019/08/10 01:59:59,26.51
2019/08/10 02:59:59,26.27
2019/08/10 03:59:59,26.05
2019/08/10 04:59:59,25.93
2019/08/10 05:59:59,26.52
2019/08/10 06:59:59,27.77
2019/08/10 07:59:59,29.16
2019/08/10 08:59:59,30.4
2019/08/10 09:59:59,31.49
2019/08/10 10:59:59,32.33
2019/08/10 11:59:59,32.98
2019/08/10 12:59:59,33.39
2019/08/10 13:59:59,33.53
2019/08/10 14:59:59,33.26
2019/08/10 15:59:59,32.68
2019/08/10 16:59:59,31.62
2019/08/10 17:59:59,29.96
2019/08/10 18:59:59,29.15
2019/08/10 19:59:59,28.76
2019/08/10 20:59:59,28.46
2019/08/10 21:59:59,28.08
2019/08/10 22:59:59,27.7
2019/08/10 23:59:59,27.37
2019/08/11 00:59:59,27.03
2019/08/11 01:59:59,26.76
2019/08/11 02:59:59,26.58
2019/08/11 03:59:59,26.42
2019/08/11 04:59:59,26.57
2019/08/11 05:59:59,27.99
2019/08/11 06:59:59,29.99
2019/08/11 07:59:59,31.33
2019/08/11 08:59:59,32.84
2019/08/11 09:59:59,34.16
2019/08/11 10:59:59,35.14
2019/08/11 11:59:59,35.8
2019/08/11 12:59:59,35.95
2019/08/11 13:59:59,35.98
2019/08/11 14:59:59,35.83
2019/08/11 15:59:59,35.26
2019/08/11 16:59:59,34.44
2019/08/11 17:59:59,32.55
2019/08/11 18:59:59,31.58
2019/08/11 19:59:59,30.9
2019/08/11 20:59:59,30.17
2019/08/11 21:59:59,29.47
2019/08/11 22:59:59,28.77
2019/08/11 23:59:59,28.15
2019/08/12 00:59:59,27.62
2019/08/12 01:59:59,27.22
2019/08/12 02:59:59,26.92
2019/08/12 03:59:59,26.69
2019/08/12 04:59:59,26.71
2019/08/12 05:59:59,28.13
2019/08/12 06:59:59,30.96
2019/08/12 07:59:59,32.57
2019/08/12 08:59:59,33.68
2019/08/12 09:59:59,34.73
2019/08/12 10:59:59,35.53
2019/08/12 11:59:59,35.73
2019/08/12 12:59:59,35.69
2019/08/12 13:59:59,35.42
2019/08/12 14:59:59,35.1
